Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
1,0.31,0.31,0.31,30000,2,3,linear_sync
2,0.32,0.31,0.32,30000,2,3,linear_sync
4,0.32,0.31,0.32,30000,2,3,linear_sync
8,0.32,0.31,0.32,30000,2,3,linear_sync
16,0.31,0.31,0.31,30000,2,3,linear_sync
32,0.31,0.31,0.32,30000,2,3,linear_sync
64,0.31,0.31,0.32,30000,2,3,linear_sync
128,0.31,0.31,0.37,30000,2,3,linear_sync
256,0.32,0.32,0.39,30000,2,3,linear_sync
512,0.32,0.32,0.40,30000,2,3,linear_sync
1024,0.31,0.31,0.42,30000,2,3,linear_sync
2048,0.31,0.30,0.47,30000,2,3,linear_sync
4096,0.31,0.31,0.56,30000,2,3,linear_sync
8192,0.32,0.31,0.75,30000,2,3,linear_sync
16384,0.32,0.32,1.35,30000,2,3,linear_sync
32768,0.31,0.31,2.17,30000,2,3,linear_sync
65536,0.32,0.31,3.53,30000,2,3,linear_sync
131072,0.31,0.31,6.64,30000,2,3,linear_sync
262144,0.31,0.31,38.69,30000,2,3,linear_sync
524288,0.32,0.32,75.36,30000,2,3,linear_sync
1,0.64,0.64,0.64,30000,4,3,linear_sync
2,0.64,0.63,0.64,30000,4,3,linear_sync
4,0.64,0.64,0.64,30000,4,3,linear_sync
8,0.64,0.63,0.64,30000,4,3,linear_sync
16,0.65,0.64,0.65,30000,4,3,linear_sync
32,0.64,0.64,0.64,30000,4,3,linear_sync
64,0.64,0.64,0.65,30000,4,3,linear_sync
128,0.64,0.64,0.79,30000,4,3,linear_sync
256,0.64,0.64,0.82,30000,4,3,linear_sync
512,0.65,0.64,0.86,30000,4,3,linear_sync
1024,0.63,0.63,0.90,30000,4,3,linear_sync
2048,0.64,0.64,1.05,30000,4,3,linear_sync
4096,0.64,0.64,1.38,30000,4,3,linear_sync
8192,0.64,0.64,1.76,30000,4,3,linear_sync
16384,0.64,0.64,2.76,30000,4,3,linear_sync
32768,0.65,0.64,4.33,30000,4,3,linear_sync
65536,0.64,0.64,7.27,30000,4,3,linear_sync
131072,0.64,0.64,12.37,30000,4,3,linear_sync
262144,0.64,0.64,57.22,30000,4,3,linear_sync
524288,0.64,0.64,114.56,30000,4,3,linear_sync
1,2.25,2.25,2.25,30000,8,3,linear_sync
2,2.23,2.23,2.26,30000,8,3,linear_sync
4,2.28,2.28,2.33,30000,8,3,linear_sync
8,2.24,2.24,2.70,30000,8,3,linear_sync
16,2.25,2.25,2.63,30000,8,3,linear_sync
32,2.25,2.25,2.61,30000,8,3,linear_sync
64,2.32,2.31,2.73,30000,8,3,linear_sync
128,2.24,2.24,2.83,30000,8,3,linear_sync
256,2.26,2.25,2.85,30000,8,3,linear_sync
512,2.29,2.29,2.98,30000,8,3,linear_sync
1024,2.30,2.27,3.20,30000,8,3,linear_sync
2048,2.29,2.23,4.00,30000,8,3,linear_sync
4096,2.25,2.24,4.91,30000,8,3,linear_sync
8192,2.26,2.26,7.46,30000,8,3,linear_sync
16384,2.25,2.25,10.34,30000,8,3,linear_sync
32768,2.29,2.29,17.12,30000,8,3,linear_sync
65536,2.26,2.26,30.19,30000,8,3,linear_sync
131072,2.24,2.23,59.69,30000,8,3,linear_sync
262144,2.23,2.23,122.29,30000,8,3,linear_sync
524288,2.30,2.28,234.41,30000,8,3,linear_sync
1,5.89,5.89,5.89,30000,16,3,linear_sync
2,5.73,5.48,5.73,30000,16,3,linear_sync
4,5.89,5.49,5.89,30000,16,3,linear_sync
8,5.71,5.55,5.79,30000,16,3,linear_sync
16,5.74,5.47,5.74,30000,16,3,linear_sync
32,5.96,5.55,6.25,30000,16,3,linear_sync
64,5.61,5.56,6.28,30000,16,3,linear_sync
128,5.72,5.52,7.22,30000,16,3,linear_sync
256,5.72,5.49,7.30,30000,16,3,linear_sync
512,5.74,5.54,7.80,30000,16,3,linear_sync
1024,5.87,5.56,8.25,30000,16,3,linear_sync
2048,5.85,5.55,10.50,30000,16,3,linear_sync
4096,5.70,5.61,12.99,30000,16,3,linear_sync
8192,5.75,5.56,19.50,30000,16,3,linear_sync
16384,5.77,5.49,29.59,30000,16,3,linear_sync
32768,5.41,5.41,50.83,30000,16,3,linear_sync
65536,5.75,5.48,80.32,30000,16,3,linear_sync
131072,5.67,5.51,151.99,30000,16,3,linear_sync
262144,5.69,5.45,252.73,30000,16,3,linear_sync
524288,5.38,5.38,488.93,30000,16,3,linear_sync
1,12.93,12.93,12.93,30000,32,3,linear_sync
2,13.30,12.67,13.30,30000,32,3,linear_sync
4,13.20,12.60,13.20,30000,32,3,linear_sync
8,13.20,12.55,13.20,30000,32,3,linear_sync
16,13.58,12.81,13.58,30000,32,3,linear_sync
32,13.08,12.45,13.92,30000,32,3,linear_sync
64,13.46,12.31,13.74,30000,32,3,linear_sync
128,12.98,12.43,16.94,30000,32,3,linear_sync
256,13.69,12.35,17.14,30000,32,3,linear_sync
512,13.59,12.22,18.80,30000,32,3,linear_sync
1024,13.84,12.19,19.28,30000,32,3,linear_sync
2048,14.08,12.20,25.52,30000,32,3,linear_sync
4096,13.64,12.17,31.37,30000,32,3,linear_sync
8192,14.02,12.30,45.31,30000,32,3,linear_sync
16384,13.85,12.33,67.17,30000,32,3,linear_sync
32768,14.02,12.31,112.95,30000,32,3,linear_sync
65536,13.58,12.24,200.05,30000,32,3,linear_sync
131072,13.72,12.36,337.60,30000,32,3,linear_sync
262144,13.67,12.14,531.01,30000,32,3,linear_sync
524288,12.62,12.38,1172.44,30000,32,3,linear_sync
1,30.56,30.56,30.56,30000,64,3,linear_sync
2,29.53,29.53,30.90,30000,64,3,linear_sync
