Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
1,0.14,0.14,0.14,30000,2,2,binomial
2,0.13,0.13,0.14,30000,2,2,binomial
4,0.14,0.13,0.14,30000,2,2,binomial
8,0.13,0.13,0.14,30000,2,2,binomial
16,0.14,0.13,0.14,30000,2,2,binomial
32,0.14,0.13,0.16,30000,2,2,binomial
64,0.14,0.13,0.16,30000,2,2,binomial
128,0.13,0.12,0.19,30000,2,2,binomial
256,0.14,0.13,0.19,30000,2,2,binomial
512,0.13,0.13,0.21,30000,2,2,binomial
1024,0.13,0.13,0.24,30000,2,2,binomial
2048,0.13,0.13,0.30,30000,2,2,binomial
4096,0.14,0.13,0.38,30000,2,2,binomial
8192,0.14,0.13,0.57,30000,2,2,binomial
16384,0.12,0.12,0.87,30000,2,2,binomial
32768,0.14,0.14,1.56,30000,2,2,binomial
65536,0.14,0.13,3.01,30000,2,2,binomial
131072,0.13,0.13,5.79,30000,2,2,binomial
262144,0.14,0.13,36.02,30000,2,2,binomial
524288,0.13,0.12,62.85,30000,2,2,binomial
1,0.23,0.23,0.23,30000,4,2,binomial
2,0.23,0.22,0.23,30000,4,2,binomial
4,0.22,0.22,0.22,30000,4,2,binomial
8,0.23,0.23,0.23,30000,4,2,binomial
16,0.23,0.23,0.23,30000,4,2,binomial
32,0.23,0.23,0.23,30000,4,2,binomial
64,0.22,0.22,0.25,30000,4,2,binomial
128,0.22,0.22,0.31,30000,4,2,binomial
256,0.22,0.22,0.32,30000,4,2,binomial
512,0.23,0.22,0.35,30000,4,2,binomial
1024,0.22,0.22,0.40,30000,4,2,binomial
2048,0.23,0.23,0.52,30000,4,2,binomial
4096,0.23,0.23,0.68,30000,4,2,binomial
8192,0.22,0.22,1.03,30000,4,2,binomial
16384,0.22,0.22,1.87,30000,4,2,binomial
32768,0.22,0.22,3.20,30000,4,2,binomial
65536,0.22,0.22,5.89,30000,4,2,binomial
131072,0.22,0.22,23.32,30000,4,2,binomial
262144,0.22,0.22,76.28,30000,4,2,binomial
524288,0.22,0.22,144.44,30000,4,2,binomial
1,0.46,0.46,0.46,30000,8,2,binomial
2,0.46,0.46,0.47,30000,8,2,binomial
4,0.46,0.46,0.49,30000,8,2,binomial
8,0.48,0.47,0.49,30000,8,2,binomial
16,0.48,0.48,0.50,30000,8,2,binomial
32,0.46,0.46,0.55,30000,8,2,binomial
64,0.47,0.47,0.60,30000,8,2,binomial
128,0.48,0.48,0.70,30000,8,2,binomial
256,0.50,0.50,0.78,30000,8,2,binomial
512,0.46,0.46,0.80,30000,8,2,binomial
1024,0.49,0.48,0.91,30000,8,2,binomial
2048,0.47,0.47,1.23,30000,8,2,binomial
4096,0.50,0.50,1.74,30000,8,2,binomial
8192,0.48,0.48,2.77,30000,8,2,binomial
16384,0.46,0.46,4.92,30000,8,2,binomial
32768,0.45,0.45,9.01,30000,8,2,binomial
65536,0.45,0.45,21.80,30000,8,2,binomial
131072,0.49,0.49,57.15,30000,8,2,binomial
262144,0.47,0.47,165.63,30000,8,2,binomial
524288,0.48,0.48,326.31,30000,8,2,binomial
1,0.56,0.56,0.56,30000,16,2,binomial
2,0.60,0.60,0.77,30000,16,2,binomial
4,0.56,0.56,0.59,30000,16,2,binomial
8,0.77,0.64,0.77,30000,16,2,binomial
16,0.57,0.55,0.80,30000,16,2,binomial
32,0.60,0.60,0.77,30000,16,2,binomial
64,0.57,0.57,0.67,30000,16,2,binomial
128,0.57,0.57,0.80,30000,16,2,binomial
256,0.57,0.57,0.84,30000,16,2,binomial
512,0.59,0.59,1.00,30000,16,2,binomial
1024,0.56,0.56,1.26,30000,16,2,binomial
2048,0.57,0.57,1.83,30000,16,2,binomial
4096,0.61,0.57,2.67,30000,16,2,binomial
8192,0.57,0.57,4.57,30000,16,2,binomial
16384,0.57,0.57,8.54,30000,16,2,binomial
32768,0.58,0.58,17.60,30000,16,2,binomial
65536,0.71,0.66,35.74,30000,16,2,binomial
131072,0.56,0.56,93.15,30000,16,2,binomial
262144,0.58,0.58,266.37,30000,16,2,binomial
524288,0.56,0.56,545.51,30000,16,2,binomial
1,0.77,0.77,0.77,30000,32,2,binomial
2,0.67,0.67,0.70,30000,32,2,binomial
4,0.85,0.75,0.85,30000,32,2,binomial
8,0.66,0.66,0.89,30000,32,2,binomial
16,0.87,0.69,0.87,30000,32,2,binomial
32,0.86,0.68,0.86,30000,32,2,binomial
64,0.67,0.66,0.80,30000,32,2,binomial
128,0.69,0.69,0.88,30000,32,2,binomial
256,0.82,0.65,0.98,30000,32,2,binomial
512,0.72,0.72,1.21,30000,32,2,binomial
1024,0.74,0.70,1.67,30000,32,2,binomial
2048,0.85,0.65,2.44,30000,32,2,binomial
4096,0.68,0.65,4.02,30000,32,2,binomial
8192,0.65,0.65,6.30,30000,32,2,binomial
16384,0.73,0.71,13.78,30000,32,2,binomial
32768,0.75,0.71,24.33,30000,32,2,binomial
65536,0.66,0.66,48.71,30000,32,2,binomial
131072,0.75,0.68,119.63,30000,32,2,binomial
262144,0.84,0.67,324.06,30000,32,2,binomial
524288,0.87,0.67,702.09,30000,32,2,binomial
1,0.80,0.80,0.80,30000,64,2,binomial
2,0.90,0.78,0.90,30000,64,2,binomial
4,0.79,0.79,0.82,30000,64,2,binomial
8,0.84,0.78,0.84,30000,64,2,binomial
16,0.80,0.78,0.87,30000,64,2,binomial
32,0.81,0.77,0.93,30000,64,2,binomial
64,0.80,0.79,1.02,30000,64,2,binomial
128,0.79,0.78,1.07,30000,64,2,binomial
256,0.96,0.78,1.39,30000,64,2,binomial
512,0.80,0.79,1.64,30000,64,2,binomial
1024,0.80,0.77,2.10,30000,64,2,binomial
2048,0.87,0.80,3.04,30000,64,2,binomial
4096,0.79,0.78,5.21,30000,64,2,binomial
8192,0.86,0.77,9.32,30000,64,2,binomial
16384,0.79,0.78,17.94,30000,64,2,binomial
32768,0.81,0.77,35.06,30000,64,2,binomial
65536,0.84,0.77,67.65,30000,64,2,binomial
131072,0.85,0.77,153.24,30000,64,2,binomial
262144,0.80,0.77,376.63,30000,64,2,binomial
524288,0.76,0.76,5516.59,30000,64,2,binomial
1,1.00,1.00,1.00,30000,128,2,binomial
2,1.01,1.01,1.21,30000,128,2,binomial
4,1.00,1.00,1.06,30000,128,2,binomial
8,1.01,1.01,1.08,30000,128,2,binomial
16,1.00,1.00,1.41,30000,128,2,binomial
32,1.10,1.09,1.44,30000,128,2,binomial
64,1.06,1.02,1.45,30000,128,2,binomial
128,1.03,1.03,1.45,30000,128,2,binomial
