Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
1,0.31,0.31,0.31,30000,2,0,ignore
2,0.30,0.12,0.30,30000,2,0,ignore
4,0.30,0.12,0.30,30000,2,0,ignore
8,0.30,0.12,0.30,30000,2,0,ignore
16,0.30,0.12,0.30,30000,2,0,ignore
32,0.29,0.12,0.29,30000,2,0,ignore
64,0.30,0.12,0.30,30000,2,0,ignore
128,0.30,0.12,0.30,30000,2,0,ignore
256,0.29,0.12,0.29,30000,2,0,ignore
512,0.30,0.12,0.30,30000,2,0,ignore
1024,0.29,0.12,0.29,30000,2,0,ignore
2048,0.31,0.12,0.31,30000,2,0,ignore
4096,0.31,0.12,0.37,30000,2,0,ignore
8192,0.30,0.13,0.57,30000,2,0,ignore
16384,0.30,0.12,0.90,30000,2,0,ignore
32768,0.30,0.12,1.61,30000,2,0,ignore
65536,0.30,0.12,3.05,30000,2,0,ignore
131072,0.30,0.13,6.50,30000,2,0,ignore
262144,0.30,0.13,33.58,30000,2,0,ignore
524288,0.31,0.12,57.03,30000,2,0,ignore
1,0.22,0.22,0.22,30000,4,0,ignore
2,0.22,0.22,0.22,30000,4,0,ignore
4,0.22,0.21,0.22,30000,4,0,ignore
8,0.22,0.22,0.22,30000,4,0,ignore
16,0.21,0.21,0.22,30000,4,0,ignore
32,0.22,0.22,0.23,30000,4,0,ignore
64,0.22,0.22,0.25,30000,4,0,ignore
128,0.22,0.22,0.30,30000,4,0,ignore
256,0.22,0.22,0.32,30000,4,0,ignore
512,0.22,0.22,0.35,30000,4,0,ignore
1024,0.21,0.21,0.34,30000,4,0,ignore
2048,0.22,0.22,0.36,30000,4,0,ignore
4096,0.21,0.21,0.50,30000,4,0,ignore
8192,0.22,0.22,1.05,30000,4,0,ignore
16384,0.22,0.22,1.85,30000,4,0,ignore
32768,0.22,0.22,2.45,30000,4,0,ignore
65536,0.22,0.22,4.29,30000,4,0,ignore
131072,0.22,0.22,9.02,30000,4,0,ignore
262144,0.21,0.21,66.87,30000,4,0,ignore
524288,0.22,0.21,126.87,30000,4,0,ignore
1,0.47,0.47,0.47,30000,8,0,ignore
2,0.49,0.49,0.50,30000,8,0,ignore
4,0.46,0.46,0.47,30000,8,0,ignore
8,0.50,0.50,0.50,30000,8,0,ignore
16,0.47,0.47,0.49,30000,8,0,ignore
32,0.45,0.45,0.55,30000,8,0,ignore
64,0.48,0.48,0.67,30000,8,0,ignore
128,0.49,0.48,0.81,30000,8,0,ignore
256,0.47,0.47,0.75,30000,8,0,ignore
512,0.48,0.47,0.84,30000,8,0,ignore
1024,0.48,0.48,0.94,30000,8,0,ignore
2048,0.48,0.47,1.22,30000,8,0,ignore
4096,0.48,0.48,1.73,30000,8,0,ignore
8192,0.47,0.47,2.73,30000,8,0,ignore
16384,0.48,0.48,4.75,30000,8,0,ignore
32768,0.45,0.45,9.46,30000,8,0,ignore
65536,0.48,0.48,21.47,30000,8,0,ignore
131072,0.47,0.47,57.94,30000,8,0,ignore
262144,0.47,0.47,166.18,30000,8,0,ignore
524288,0.48,0.47,327.36,30000,8,0,ignore
1,0.55,0.55,0.55,30000,16,0,ignore
2,0.57,0.57,0.83,30000,16,0,ignore
4,0.59,0.59,0.77,30000,16,0,ignore
8,0.59,0.54,0.78,30000,16,0,ignore
16,0.56,0.56,0.78,30000,16,0,ignore
32,0.57,0.57,0.79,30000,16,0,ignore
64,0.57,0.55,0.77,30000,16,0,ignore
128,0.56,0.56,0.76,30000,16,0,ignore
256,0.55,0.55,0.83,30000,16,0,ignore
512,0.59,0.55,1.00,30000,16,0,ignore
1024,0.56,0.56,1.24,30000,16,0,ignore
2048,0.57,0.57,1.79,30000,16,0,ignore
4096,0.59,0.59,2.71,30000,16,0,ignore
8192,0.54,0.54,4.57,30000,16,0,ignore
16384,0.56,0.55,8.61,30000,16,0,ignore
32768,0.60,0.60,17.46,30000,16,0,ignore
65536,0.58,0.57,35.69,30000,16,0,ignore
131072,0.56,0.56,92.41,30000,16,0,ignore
262144,0.74,0.61,265.10,30000,16,0,ignore
524288,0.53,0.53,545.53,30000,16,0,ignore
1,0.85,0.85,0.85,30000,32,0,ignore
2,0.88,0.80,0.88,30000,32,0,ignore
4,0.65,0.65,0.94,30000,32,0,ignore
8,0.78,0.69,0.79,30000,32,0,ignore
16,0.67,0.67,0.86,30000,32,0,ignore
32,0.84,0.71,0.84,30000,32,0,ignore
64,0.70,0.70,0.78,30000,32,0,ignore
128,0.77,0.72,0.87,30000,32,0,ignore
256,0.64,0.64,0.99,30000,32,0,ignore
512,0.70,0.69,1.21,30000,32,0,ignore
1024,0.79,0.68,1.57,30000,32,0,ignore
2048,0.75,0.64,2.46,30000,32,0,ignore
4096,0.78,0.67,4.02,30000,32,0,ignore
8192,0.81,0.69,6.27,30000,32,0,ignore
16384,0.65,0.65,13.41,30000,32,0,ignore
32768,0.87,0.66,24.50,30000,32,0,ignore
65536,0.89,0.72,49.06,30000,32,0,ignore
131072,0.82,0.66,119.51,30000,32,0,ignore
262144,0.86,0.66,335.20,30000,32,0,ignore
524288,0.64,0.63,692.73,30000,32,0,ignore
1,0.94,0.94,0.94,30000,64,0,ignore
2,0.78,0.76,0.78,30000,64,0,ignore
4,0.81,0.78,0.81,30000,64,0,ignore
8,0.77,0.76,0.86,30000,64,0,ignore
16,0.88,0.79,0.88,30000,64,0,ignore
