Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
1,0.15,0.15,0.15,30000,2,2,chain
2,0.15,0.15,0.15,30000,2,2,chain
4,0.15,0.15,0.15,30000,2,2,chain
8,0.16,0.15,0.16,30000,2,2,chain
16,0.15,0.15,0.16,30000,2,2,chain
32,0.15,0.15,0.15,30000,2,2,chain
64,0.15,0.15,0.16,30000,2,2,chain
128,0.16,0.15,0.22,30000,2,2,chain
256,0.15,0.15,0.22,30000,2,2,chain
512,0.15,0.15,0.26,30000,2,2,chain
1024,0.15,0.15,0.26,30000,2,2,chain
2048,0.15,0.15,0.29,30000,2,2,chain
4096,0.15,0.15,0.38,30000,2,2,chain
8192,0.15,0.15,0.55,30000,2,2,chain
16384,0.15,0.14,3.79,30000,2,2,chain
32768,0.15,0.15,4.36,30000,2,2,chain
65536,0.15,0.15,5.83,30000,2,2,chain
131072,0.15,0.15,10.76,30000,2,2,chain
262144,0.15,0.15,21.73,30000,2,2,chain
524288,0.15,0.15,51.55,30000,2,2,chain
1,0.17,0.17,0.17,30000,4,2,chain
2,0.18,0.18,0.18,30000,4,2,chain
4,0.18,0.18,0.18,30000,4,2,chain
8,0.17,0.17,0.17,30000,4,2,chain
16,0.17,0.17,0.18,30000,4,2,chain
32,0.18,0.18,0.18,30000,4,2,chain
64,0.18,0.17,0.18,30000,4,2,chain
128,0.17,0.17,0.31,30000,4,2,chain
256,0.18,0.18,0.32,30000,4,2,chain
512,0.18,0.18,0.34,30000,4,2,chain
1024,0.17,0.17,0.36,30000,4,2,chain
2048,0.18,0.18,0.49,30000,4,2,chain
4096,0.19,0.18,0.69,30000,4,2,chain
8192,0.18,0.18,1.11,30000,4,2,chain
16384,0.18,0.18,4.09,30000,4,2,chain
32768,0.18,0.18,5.10,30000,4,2,chain
65536,0.17,0.17,7.93,30000,4,2,chain
131072,0.18,0.17,14.67,30000,4,2,chain
262144,0.18,0.18,35.79,30000,4,2,chain
524288,0.18,0.17,79.99,30000,4,2,chain
1,0.78,0.78,0.78,30000,8,2,chain
2,0.80,0.80,0.80,30000,8,2,chain
4,0.74,0.74,0.77,30000,8,2,chain
8,0.79,0.73,0.88,30000,8,2,chain
16,0.74,0.74,0.88,30000,8,2,chain
32,0.75,0.75,1.00,30000,8,2,chain
64,0.76,0.76,0.95,30000,8,2,chain
128,0.76,0.76,1.41,30000,8,2,chain
256,0.77,0.76,1.34,30000,8,2,chain
512,0.73,0.73,1.38,30000,8,2,chain
1024,0.79,0.77,1.47,30000,8,2,chain
2048,0.76,0.76,1.90,30000,8,2,chain
4096,0.76,0.76,3.03,30000,8,2,chain
8192,0.75,0.75,4.82,30000,8,2,chain
16384,0.74,0.74,12.45,30000,8,2,chain
32768,0.81,0.77,12.63,30000,8,2,chain
65536,0.73,0.73,25.69,30000,8,2,chain
131072,0.79,0.79,51.25,30000,8,2,chain
262144,0.81,0.79,118.17,30000,8,2,chain
524288,0.77,0.77,251.12,30000,8,2,chain
1,1.20,1.20,1.20,30000,16,2,chain
2,1.21,1.21,1.21,30000,16,2,chain
4,1.20,1.19,1.20,30000,16,2,chain
8,1.19,1.19,1.35,30000,16,2,chain
16,1.17,1.17,1.27,30000,16,2,chain
32,1.20,1.20,1.31,30000,16,2,chain
64,1.19,1.19,1.35,30000,16,2,chain
128,1.22,1.21,1.94,30000,16,2,chain
256,1.21,1.19,1.97,30000,16,2,chain
512,1.17,1.17,2.22,30000,16,2,chain
1024,1.22,1.22,2.24,30000,16,2,chain
2048,1.21,1.19,2.99,30000,16,2,chain
4096,1.19,1.18,5.30,30000,16,2,chain
8192,1.22,1.20,10.10,30000,16,2,chain
16384,1.19,1.19,18.25,30000,16,2,chain
32768,1.21,1.19,32.25,30000,16,2,chain
65536,1.20,1.19,59.77,30000,16,2,chain
131072,1.21,1.19,116.95,30000,16,2,chain
262144,1.18,1.18,226.37,30000,16,2,chain
524288,1.23,1.23,461.86,30000,16,2,chain
1,1.68,1.68,1.68,30000,32,2,chain
2,1.68,1.68,1.68,30000,32,2,chain
4,1.56,1.56,1.78,30000,32,2,chain
8,1.79,1.62,1.79,30000,32,2,chain
16,1.65,1.58,1.73,30000,32,2,chain
32,1.71,1.59,1.78,30000,32,2,chain
64,1.77,1.68,1.97,30000,32,2,chain
128,1.62,1.54,2.58,30000,32,2,chain
256,1.80,1.57,2.66,30000,32,2,chain
512,1.71,1.60,2.98,30000,32,2,chain
1024,1.75,1.58,3.21,30000,32,2,chain
2048,1.71,1.59,4.29,30000,32,2,chain
4096,1.80,1.56,5.81,30000,32,2,chain
8192,1.70,1.60,8.88,30000,32,2,chain
16384,1.67,1.58,15.47,30000,32,2,chain
32768,1.73,1.61,27.18,30000,32,2,chain
65536,1.63,1.60,53.06,30000,32,2,chain
131072,1.69,1.61,112.03,30000,32,2,chain
262144,1.65,1.56,232.72,30000,32,2,chain
524288,1.76,1.61,520.85,30000,32,2,chain
1,1.75,1.75,1.75,30000,64,2,chain
2,1.63,1.63,1.64,30000,64,2,chain
4,1.60,1.60,1.66,30000,64,2,chain
8,1.61,1.57,1.61,30000,64,2,chain
16,1.74,1.59,1.74,30000,64,2,chain
32,1.84,1.64,2.00,30000,64,2,chain
64,1.60,1.60,2.03,30000,64,2,chain
128,1.58,1.58,2.94,30000,64,2,chain
256,1.70,1.66,2.95,30000,64,2,chain
512,1.64,1.59,3.55,30000,64,2,chain
1024,1.69,1.68,3.65,30000,64,2,chain
2048,1.72,1.68,5.06,30000,64,2,chain
4096,1.70,1.66,6.88,30000,64,2,chain
8192,1.70,1.65,11.24,30000,64,2,chain
16384,1.70,1.67,21.17,30000,64,2,chain
32768,1.69,1.66,36.03,30000,64,2,chain
65536,1.75,1.72,74.83,30000,64,2,chain
131072,1.75,1.71,156.37,30000,64,2,chain
262144,1.74,1.67,334.85,30000,64,2,chain
524288,1.63,1.60,705.00,30000,64,2,chain
1,2.66,2.66,2.66,30000,128,2,chain
2,2.55,2.55,3.79,30000,128,2,chain
4,2.63,2.63,3.85,30000,128,2,chain
8,2.55,2.55,3.81,30000,128,2,chain
16,2.62,2.62,3.84,30000,128,2,chain
32,2.87,2.87,9.04,30000,128,2,chain
64,2.51,2.51,4.48,30000,128,2,chain
128,2.56,2.56,5.93,30000,128,2,chain
256,2.57,2.57,6.20,30000,128,2,chain
512,2.55,2.55,6.65,30000,128,2,chain
1024,2.65,2.65,6.86,30000,128,2,chain
2048,2.65,2.65,10.38,30000,128,2,chain
4096,2.51,2.51,19.45,30000,128,2,chain
8192,2.65,2.65,35.76,30000,128,2,chain
16384,2.67,2.67,119.35,30000,128,2,chain
32768,2.67,2.67,176.05,30000,128,2,chain
65536,2.71,2.71,175.92,30000,128,2,chain
131072,2.64,2.64,247.95,30000,128,2,chain
262144,2.54,2.54,515.60,30000,128,2,chain
524288,2.62,2.62,1018.50,30000,128,2,chain
1,1.03,1.03,1.03,30000,256,2,chain
2,1.00,1.00,1.01,30000,256,2,chain
4,1.00,1.00,1.04,30000,256,2,chain
8,0.99,0.99,1.01,30000,256,2,chain
16,1.02,1.02,1.04,30000,256,2,chain
32,0.98,0.98,1.20,30000,256,2,chain
64,0.99,0.99,1.20,30000,256,2,chain
128,1.00,1.00,2.15,30000,256,2,chain
256,0.98,0.98,2.78,30000,256,2,chain
512,1.04,1.01,3.42,30000,256,2,chain
1024,1.00,1.00,3.81,30000,256,2,chain
2048,0.98,0.98,5.89,30000,256,2,chain
4096,0.98,0.98,9.46,30000,256,2,chain
8192,1.00,1.00,16.01,30000,256,2,chain
16384,0.99,0.98,122.57,30000,256,2,chain
32768,0.98,0.98,122.78,30000,256,2,chain
65536,0.99,0.99,122.73,30000,256,2,chain
131072,0.97,0.97,203.46,30000,256,2,chain
262144,0.96,0.96,451.81,30000,256,2,chain
524288,1.00,1.00,915.89,30000,256,2,chain
