Size,Avg Latency(us),Min Latency(us),Max Latency(us),Iterations,NP_total,ALGO,ALGO_NAME
1,0.15,0.15,0.15,30000,2,0,ignore
2,0.15,0.15,0.16,30000,2,0,ignore
4,0.15,0.15,0.15,30000,2,0,ignore
8,0.16,0.15,0.16,30000,2,0,ignore
16,0.15,0.14,0.15,30000,2,0,ignore
32,0.15,0.14,0.15,30000,2,0,ignore
64,0.15,0.15,0.16,30000,2,0,ignore
128,0.14,0.14,0.21,30000,2,0,ignore
256,0.15,0.14,0.22,30000,2,0,ignore
512,0.16,0.15,0.25,30000,2,0,ignore
1024,0.14,0.14,0.25,30000,2,0,ignore
2048,0.16,0.15,0.29,30000,2,0,ignore
4096,0.16,0.15,0.38,30000,2,0,ignore
8192,0.15,0.14,0.57,30000,2,0,ignore
16384,0.15,0.14,4.12,30000,2,0,ignore
32768,0.15,0.15,4.26,30000,2,0,ignore
65536,0.16,0.15,6.02,30000,2,0,ignore
131072,0.14,0.14,10.18,30000,2,0,ignore
262144,0.14,0.14,23.09,30000,2,0,ignore
524288,0.15,0.14,53.35,30000,2,0,ignore
1,0.19,0.19,0.19,30000,4,0,ignore
2,0.19,0.19,0.19,30000,4,0,ignore
4,0.20,0.20,0.20,30000,4,0,ignore
8,0.19,0.19,0.19,30000,4,0,ignore
16,0.19,0.19,0.19,30000,4,0,ignore
32,0.19,0.19,0.19,30000,4,0,ignore
64,0.19,0.19,0.19,30000,4,0,ignore
128,0.19,0.19,0.30,30000,4,0,ignore
256,0.19,0.19,0.32,30000,4,0,ignore
512,0.19,0.19,0.37,30000,4,0,ignore
1024,0.19,0.19,0.39,30000,4,0,ignore
2048,0.19,0.19,0.50,30000,4,0,ignore
4096,0.19,0.19,0.71,30000,4,0,ignore
8192,0.19,0.19,1.09,30000,4,0,ignore
16384,0.19,0.19,4.14,30000,4,0,ignore
32768,0.19,0.19,5.03,30000,4,0,ignore
65536,0.19,0.19,7.69,30000,4,0,ignore
131072,0.19,0.19,15.68,30000,4,0,ignore
262144,0.19,0.19,34.81,30000,4,0,ignore
